name,type,category,buyCostEnergy,playCostEnergy,playCostWater,playCostPhosphorus,playCostNitrogen,timing,repayRounds,axis,threat,produces,effect,flavor,notes,familyKey,tutorial,startCopies
Hyphal Imbibition,basic,water-harvest,0,0,0,0,0,any,0,resource,none,,"If your network touches a lake edge, harvest +3 Water. Otherwise gain +1 Water from soil.",Hyphae draw free water across their walls by simple osmotic imbibition; even dry soil yields a trickle of condensation.,"Floor water source, free deck-floor basic (buyCostEnergy 0, R2). GLOBAL targeting: checks whole-network lake adjacency, no tap. Never a full dud (inv. 6/7): +2 lakeside, +1 off-lake, but lakeside double yield keeps routing the point. Below the +3 lake-action so installs stay worth it. Payload of Capillary Runners. You still paid drawCostEnergy 8 to draw it.",water,false,0
Phosphate Tap,basic,phosphorus-mining,0,0,0,0,0,any,0,resource,none,+3 Phosphorus on harvest,"If your network contacts any mineral, crystal, or boulder, harvest +3 Phosphorus.",Cords sheathe a rock face and draw down its dissolved phosphate charge.,"The basic P HARVEST card the family direction explicitly asks for (parity with the basic W harvest). Free deck-floor; the canonical +3 harvest from CONFIG.resources.harvestPhosphorus. Global contact check (R7, no node/strand targeting). Unplayable when not in contact with a P feature (R6-style: no do-nothing fallback) -> rewards routing to rock first. Rhizomorph Drill upgrades this to +5.",phosphorus,false,0
Condense,basic,water-harvest,0,0,0,0,0,any,0,resource,none,+1 W (one-shot),Gain 1 Water.,Hydrophobic hyphal mats wick dew straight out of the night air.,"Free +1 W producer basic, the Water parallel to Mineralize (free +1 P) for W/P/N basic-floor parity. One-shot, not an engine (repay 0). Critical because Water is the scarce one-lake resource; this keeps W-gated cards from being dead on low-lake routing without breaking the harvest economy (only +1, vs +3 lake tap).",water,false,0
Rhizomorph Trunkline,engine,energy income,22,0,0,0,0,mid,3,engine,none,+4 energy/round,Install. Gain +4 energy at the end of each round.,A melanised rhizomorph - a bundled cable of hyphae that pumps water and nutrients in bulk across long underground runs.,"The single biggest per-round energy engine allowed (+4 = the per-engine cap). Pure energy engine: NO W/P/N gate (no double-tax). Flat buy 14, repay 14/4~=3 rounds (uncommon band). CEILING: +4 alone, or +4 (Trunkline) +4-warm (Brown-Rot Mat) handled by the runtime clamp at skip-1=11 -> idle always net-negative. The clamp, not buy cost, is the lever (R12). Distinct from Brown-Rot Mat post-fix: flat +4 forever (steady long-haul anchor) vs Mat's +4-for-3-then-+2 early burst -> Mat better early, Trunkline better as a sustained mid/late cord.",energy,true,0
Osmotic Cashout,event,energy burst,12,0,1,0,0,any,0,tempo,none,,Exhaust (1 Water): gain +22 energy.,"Accumulated glycerol and polyols, drawn in with water, are catabolised in a sudden pulse of metabolic energy.","REVIEWER FIX (medium/dominance): raised from +18 to +22 so the 1-Water gate buys a meaningful premium over the ungated burst counterpart (Hyphal Investment, +18 total spread over 3 rounds, no gate). Clean dominance split now: Cashout = INSTANT, all-at-once, ANY timing, can rescue a one-round liquidity crisis, but spends a scarce Water + competes with growth/dig cards for it (sequencing tension); Hyphal Investment = FREE but slow drip, EARLY only, cannot bail you out instantly. One-shot event, NOT an engine -> repayRounds 0, no idle interaction (can't tick), exempt from the energy ceiling. Targeting global (resolves on play, no tap). Renamed from Turgor Surge.",energy,true,0
Septal Pore Flux,engine,cheaper draws,14,0,0,0,0,early,3,engine,none,-3 energy per draw (savings),Install. Drawing a basic card costs 3 less energy.,"Cytoplasm streams freely through the septal pores between hyphal compartments, ferrying material to the growing front at low cost.","R11: dropped the 'does not stack' clause (one unique copy). Savings engine, NOT idle income -> produces 0 energy while card-dry (nothing to draw), EXEMPT from the energy-ceiling sum, never touches the idle-negative invariant. At ~1.5 draws/round it saves ~4.5 energy-equiv/round -> repay 14/~5~=3 rounds (common band). Pairs with extenders; useless once the deck depletes (LATE) -> strong early, dead late. Pure savings: no W/P/N gate.",energy,false,0
Aquaporin Channels,engine,water-engine,14,0,0,0,0,early,4,engine,none,1 Water/round (lifetime cap 8),Install. Gain +1 Water at the end of each round.,Membrane aquaporins gate a passive flux of water into the growing front until the channels foul and clog.,"GLOBAL resource engine (produces W, exempt from energy SUM ceiling, inv. 3; produce.energy 0 so no double-tax flag inv. 4). Lifetime cap 8 makes it strictly EARLY: install LATE and you waste most of the cap before card-dry (real 'too late' read). Repay 4 = flat 14 / ~3.5 resourceValueEquiv, standard band 4-5 (inv. 5). Capped output removes 'prints forever' dominance over the uncapped uncommon below.",water,true,0
Phosphatase Cushion,engine,phosphorus-producer,14,0,0,0,0,early,3,resource,none,+1 Phosphorus / round (lifetime cap 8),Install. Gain +1 Phosphorus at the end of each round.,Secreted acid phosphatases cleave bound phosphate from soil minerals until the readily-accessible reserve is exhausted.,"Floor P engine with a HARD LIFETIME CAP of 8 P to kill the auto-include profile (R5 flat cap, no %). Flat buy 14; +1 P/round (~3.5 ev) -> repays in the common/early band only if installed early enough to drain the full 8-P reserve. Bought late, it yields only ~4-5 P before the goal -> 'too late to repay', restoring the early-or-trap read. Pure resource engine -> energy-ceiling EXEMPT (no produce.energy), no W/P/N gate (no double-tax). Global production, no targeting (R7).",phosphorus,false,0
Mineralizing Saprobe,engine,decay / unconditional N production,14,0,0,0,0,early,4,engine,none,"1 N / round (unconditional, global)",Install. Gain +1 Nitrogen at the end of each round.,"Saprobes break down dead matter into ammonium, the colony's steady nitrogen baseline.","The unconditional common +1 N/round producer so N-gated cards are never dead on worm-light levels. GLOBAL (whole network), no targeting tap. Resource engine = exempt from energy ceiling, produces NO energy. +1 N ~3.5 ev -> repay 4 (standard band). The reliable N spine; the ONLY pure-unconditional N engine in the family (Ammonifying Worm Bloom is worm-conditional, Nematophagous Mat has a worm-defense rider) so no duplicate non-decision at a pile. Not flashy, never auto-include because it competes with the conditional traps for the same N role.",nitrogen,true,0
Tap-Root Rhizomorph,engine,routing,12,0,0,2,0,mid,4,engine,none,+1 cleared formation/column per round it has a target (~5 energy-equiv of barrier bypass),"Install (2 Phosphorus to play). Every 5 rounds, you may clear an in-range rock formation or column.",A dominant downward cord - the fungal analogue of a tap-root - probes deep to undermine and crack obstacles.,"R2 buy 14, repay 4 (uncommon band 4-5). R6: TIER-3 dig ENGINE, clears=[formation,column], whole-rock per round. UNPLAYABLE with no eligible rock in range. 2 PHOSPHORUS gate (tier-3 P-ladder). GROWTH/routing engine, no produce.energy => EXEMPT from energy ceiling. clears formation,column. targeting directional.",growth,false,0
Constricting Ring,action,anti-worm,5,0,0,1,0,any,0,resource,worm,,Install. Action (once per 6 rounds): tap a point where no nematode is within range; the next nematode to enter a small radius is snared and digested for +2 Nitrogen.,"A three-celled ring inflates in a tenth of a second via turgor, throttling the passing nematode (Drechslerella brochopaga).","R7: RADIUS-around-a-tap (small radius 40). Free deck-floor basic (buyCostEnergy 0). +2 N matches eat-a-worm yield. ACTIVE constriction trap (distinct from adhesive-glue lineage). Dud on a clean map, strong where worms roam = placement-dependent, never auto-include. Extenders can flood worm-heavy decks with these.",nitrogen,false,0
Rehydration Pulse,event,water-repair,7,0,1,0,0,any,0,defense,all,,Exhaust (1 Water): tap a point; heal all worm/mould damage within radius 60.,"A flush of water re-pressurizes collapsed hyphae, reviving rotted and worm-bitten strands.","RADIUS-around-a-tap, not per-strand (R7/R9). Uses the canonical Amputate radius 60 (small heal); declares radius 60. Cheap reactive water sink (1 W). Defense vs mould/worm. Dead on a clean board, never an auto-include (inv. 7). ANY timing, pays immediately, event repay 0. Threat 'all' (repairs any-source damage). Bottom of the radius-heal family (Rehydration 60 -> Monsoon 160), differentiated by RADIUS SIZE only.",water,false,0
Nutrient Transmutation,action,resource converter,6,0,0,0,0,any,0,utility,none,,Install. Action (once per round): spend 2 of one resource (W/P/N) to gain 1 of another.,"The colony reroutes its metabolism, trading one assimilated nutrient pool for another it needs more.","The generic W<->P<->N converter at a loss (2->1) so a card gated on a map-absent resource is never fully dead. GLOBAL on stockpiles, no targeting. Lives in the nitrogen family as its N-routing utility. Action cooldown 1, repay 0. 2->1 loss keeps hoarding weak (soft cap 6 still bites) so it's a relief valve, not an engine. Situational = not auto-include.",nitrogen,false,0
Rhizomorph Lance,event,mobility,10,0,2,0,0,mid,0,tempo,none,,Exhaust (2 Water): pick a direction; instantly extend 6 cells that way.,A rhizomorph — a rope of bundled hyphae — shoots ahead as a pre-built transport cord.,"Pure distance tempo, W-gated 2, flat 14. Directional growth (R3b/R8): player aims the vector, NOT toward-the-goal pathing. growthAmount 6. Great mid to close on a far pile; weak early, risky late if it overshoots. The single mobility extend (the goal-finisher extend is Fruiting Vigil, distinct payoff). repayRounds 0.",events,false,0
Fruiting Vigil,event,finisher,12,0,2,0,2,late,0,payoff,none,,Exhaust (2 Water + 2 Nitrogen): pick the goal direction and extend up to 6 cells.,"The colony pours everything into a single primordium, racing to fruit before the soil runs dry.","The premier endgame swing: closes a near-final gap and skips the surface-and-fruit steps. Heavy mixed W 2 + N 2 gate forces resource sequencing; dead weight any time you are not within ~8 cells of the goal (no auto-include). Directional extend the player aims at the goal zone (R8: player-aimed, the one finisher case, not obstacle-pathing). growthAmount 8. flat-14 buy. targeting directional. repayRounds 0.",events,true,0
Leading Cord,extender,draw-engine,8,0,0,0,0,any,0,utility,none,Apical Drive basics,Shuffle 5 copies of Apical Drive into your draw deck.,"The colony commits cords toward a repeated task, pre-loading the draw deck.","Draw-engine: adds NEW basics to the draw deck (extends the depletion clock), then goes to the graveyard (not recycled). One per non-starting basic — this is how every basic beyond the two starters enters your deck.",extenders,false,0
Forager Bloom,extender,draw-engine,8,0,0,0,0,any,0,utility,none,Foraging Fan basics,Shuffle 5 copies of Foraging Fan into your draw deck.,"The colony commits cords toward a repeated task, pre-loading the draw deck.","Draw-engine: adds NEW basics to the draw deck (extends the depletion clock), then goes to the graveyard (not recycled). One per non-starting basic — this is how every basic beyond the two starters enters your deck.",extenders,true,0
Questing Front,extender,draw-engine,9,0,0,0,0,any,0,utility,none,Tropic Lunge basics,Shuffle 5 copies of Tropic Lunge into your draw deck.,"The colony commits cords toward a repeated task, pre-loading the draw deck.","Draw-engine: adds NEW basics to the draw deck (extends the depletion clock), then goes to the graveyard (not recycled). One per non-starting basic — this is how every basic beyond the two starters enters your deck.",extenders,false,0
Humus Cache,extender,draw-engine,8,0,0,0,0,any,0,utility,none,Humus Bed basics,Shuffle 5 copies of Humus Bed into your draw deck.,"The colony commits cords toward a repeated task, pre-loading the draw deck.","Draw-engine: adds NEW basics to the draw deck (extends the depletion clock), then goes to the graveyard (not recycled). One per non-starting basic — this is how every basic beyond the two starters enters your deck.",extenders,false,0
Symbiont Weave,extender,draw-engine,9,0,0,0,0,any,0,utility,none,Mycorrhizal Mat basics,Shuffle 5 copies of Mycorrhizal Mat into your draw deck.,"The colony commits cords toward a repeated task, pre-loading the draw deck.","Draw-engine: adds NEW basics to the draw deck (extends the depletion clock), then goes to the graveyard (not recycled). One per non-starting basic — this is how every basic beyond the two starters enters your deck.",extenders,false,0
Enzyme Priming,extender,draw-engine,8,0,0,0,0,any,0,utility,none,Saprotrophic Digest basics,Shuffle 5 copies of Saprotrophic Digest into your draw deck.,"The colony commits cords toward a repeated task, pre-loading the draw deck.","Draw-engine: adds NEW basics to the draw deck (extends the depletion clock), then goes to the graveyard (not recycled). One per non-starting basic — this is how every basic beyond the two starters enters your deck.",extenders,false,0
Boring Corps,extender,draw-engine,8,0,0,0,0,any,0,utility,none,Appressorial Punch basics,Shuffle 5 copies of Appressorial Punch into your draw deck.,"The colony commits cords toward a repeated task, pre-loading the draw deck.","Draw-engine: adds NEW basics to the draw deck (extends the depletion clock), then goes to the graveyard (not recycled). One per non-starting basic — this is how every basic beyond the two starters enters your deck.",extenders,true,0
Crust Reserve,extender,draw-engine,7,0,0,0,0,any,0,utility,none,Sclerotial Crust basics,Shuffle 5 copies of Sclerotial Crust into your draw deck.,"The colony commits cords toward a repeated task, pre-loading the draw deck.","Draw-engine: adds NEW basics to the draw deck (extends the depletion clock), then goes to the graveyard (not recycled). One per non-starting basic — this is how every basic beyond the two starters enters your deck.",extenders,false,0
Capillary Runners,extender,draw-engine,8,0,0,0,0,any,0,utility,none,Hyphal Imbibition basics,Shuffle 5 copies of Hyphal Imbibition into your draw deck.,"The colony commits cords toward a repeated task, pre-loading the draw deck.","Draw-engine: adds NEW basics to the draw deck (extends the depletion clock), then goes to the graveyard (not recycled). One per non-starting basic — this is how every basic beyond the two starters enters your deck.",extenders,false,0
Prospecting Cords,extender,draw-engine,8,0,0,0,0,any,0,utility,none,Phosphate Tap basics,Shuffle 5 copies of Phosphate Tap into your draw deck.,"The colony commits cords toward a repeated task, pre-loading the draw deck.","Draw-engine: adds NEW basics to the draw deck (extends the depletion clock), then goes to the graveyard (not recycled). One per non-starting basic — this is how every basic beyond the two starters enters your deck.",extenders,false,0
Dew Traps,extender,draw-engine,6,0,0,0,0,any,0,utility,none,Condense basics,Shuffle 5 copies of Condense into your draw deck.,"The colony commits cords toward a repeated task, pre-loading the draw deck.","Draw-engine: adds NEW basics to the draw deck (extends the depletion clock), then goes to the graveyard (not recycled). One per non-starting basic — this is how every basic beyond the two starters enters your deck.",extenders,false,0
Sclerotial Seal,action,anti-ant,10,0,0,1,0,any,0,defense,ant,,"Install. Action (spend 1 P, once per 3 rounds): tap a food pile; for 3 rounds ants cannot harvest any leaves from it.",The colony crusts the cache in a hard sclerotial rind; the raiding column mills at the seal and carries nothing home.,"REPLACES Fungus-Garden Mat (removed: ants only steal from FOOD PILES, so 'turning back ants touching the network' did nothing). Protects the thing ants actually attack — locks a chosen pile for 3 rounds so the column steals 0 leaves from it. ACTION type, so per the directive it costs P (ATP) to activate: playCostPhosphorus 1 each use. CADENCE FIX (adversarial): cooldown raised from 2 to 3 so protection window (3) and cooldown (3) match and coverage cannot fully overlap — it mitigates single-pile ant maps rather than permanently sealing one pile for a trivial 1 P; forces rotation/tradeoff when multiple piles are threatened. Buy 10 (below the old 16 engine — the P gate + cadence is the second cost per BUY-COST REBALANCE). Produces no resource -> energy-ceiling exempt, produces """". RADIUS-free single-pile tap (R7-safe: target a pile, not 'N nearest strands'). Situational: dead on ant-free maps and needs a threatened pile worth sealing, so never auto-include; strong on ant-heavy food-economy maps. Distinct from Picket Hyphae (flat pile-theft reduction) and Aphid Ranch (ant->energy).",defense,false,0
Suberin Wall,engine,anti-mould,16,0,0,0,0,early,3,defense,mould,defense (network-wide: cures 1 infected strand/round and blocks new mould infection),"Install. Each round, network-wide: cure 1 infected strand and stop mould clouds from infecting any new strand. Idles when no mould is present.",Corky suberin laid down through every cell wall seals the whole colony against Trichoderma's enzymes at once.,"REPLACES Melanized Sheath (removed: 'the 3 strands nearest a cloud' was impossible to define/target). GLOBAL, network-wide (R7-safe: no per-strand and no 'N nearest' selection) — the whole network is hardened and one infected strand is cured each round. Kept as an ENGINE (passive/round) like the card it replaces, so it stays out of the action-P rule (only Constricting Ring, Nutrient Transmutation-now-exempt, Sclerotial Vault, Oxalate Barrage are the P-gated actions; this pays no P). Ungated like other defensive commons (no double-tax); produces defense not a resource -> energy-ceiling exempt (produce.energy 0), playCostEnergy 0. COST FIX (adversarial): buy raised 12 -> 16 to match the Melanized Sheath engine it replaces, so this hard-counter (network-wide immunity + 1 cure/round) is a real investment and does not trivially nullify the entire mould threat for a cheap install. repay 3 (defense/common band). Pre-emptive: strong bought BEFORE clouds arrive on mould-heavy maps; a trap if bought late or on ant/worm-only maps where it idles.",defense,false,0
