name,type,category,buyCostEnergy,playCostEnergy,playCostWater,playCostPhosphorus,playCostNitrogen,timing,axis,threat,produces,effect,flavor,notes,familyKey,targeting,radius,growthAmount,clears
Hartig Net,engine,phosphorus,13,0,0,1,0,mid,phosphorus,none,+3 phosphorus/round,INSTALL. +3 Phosphorus per round while you occupy at least 3 patches; +1 otherwise. The broad-colony P engine.,A lattice of hyphae sheathing every rootlet in reach.,Resource engine (exempt). Gate keeps it off turn-one.,phosphorus,,,,
Prototaxites Spire,engine,phosphorus,14,0,0,2,0,mid,grow,none,vertical growth/round,"INSTALL. Gated by Phosphorus. Each round, grow 1 aimed segment straight UP toward the surface — a standing structural push toward daylight.","The great primordial fungal tower, reaching for a sky that had no trees.",Growth engine (exempt). Structure/reach theme.,phosphorus,,,,
Crystalline Trellis,event,phosphorus,10,0,0,3,0,mid,route,none,long aimed growth,"DIRECTIONAL, one-shot. Gated by Phosphorus. Lay a rigid mineralised growth spur: grow 5 segments in a straight chosen direction, passing over cleared ground. A hard structural reach.",Hyphae calcified into scaffolding to hold an impossible line.,,phosphorus,directional,,5 (aimed),
Phosphate Foundry,engine,phosphorus,11,0,0,1,0,mid,energy,none,+2 energy/round (burns P),"INSTALL. +2 Energy per round, but consumes 1 Phosphorus each round to run (idles at +0 if you have no P). Converts your P supply into master currency.",Burning stored phosphate for ATP when the sugar runs thin.,"ENERGY engine: 2/round, counts to <11 ceiling; self-limits via P cost.",phosphorus,,,,
Springtail Snare,engine,nitrogen,10,0,0,0,0,mid,nitrogen,none,+2 nitrogen/round,"INSTALL. +2 Nitrogen per round from trapped soil fauna (springtails, mites) — useful even with no nematodes on the map. The unconditional N line.","Laccaria's adhesive hyphae, quietly harvesting the little animals.",Resource engine (exempt). Unconditional: works without worms.,nitrogen,,,,
Decay Compost,action,nitrogen,6,0,0,0,0,flex,nitrogen,none,nitrogen harvest,"GLOBAL, cooldown 1. Wring +3 Nitrogen from network-wide decay at once. The N harvest option (no worm required).",Ammonia rising off everything the colony has already unmade.,,nitrogen,global,,,
Mycelial Bloom,event,nitrogen,7,0,0,0,3,flex,growth,none,growth spike,"GLOBAL, one-shot. Gated by Nitrogen. Every tip grows 2 segments toward sensed food and thickens — a nitrogen-fed surge, the aggression payoff.","The flush after rain, when nitrogen is suddenly cheap.",,nitrogen,global,,2 (all tips),
Chitin Armor,engine,nitrogen,12,0,0,0,2,mid,general-defense,all,defense engine,INSTALL. Gated by Nitrogen. +50% vitality recovery each round network-wide and a standing resistance to all threats' first touch. The N defensive payoff.,"Melanised, chitin-thick walls that shrug off the first bite.",Defense engine (exempt). Unconditional value even threat-free (recovery).,nitrogen,,,,
Nitrogen Foundry,engine,nitrogen,11,0,0,0,1,mid,energy,none,+2 energy/round (burns N),"INSTALL. +2 Energy per round, but consumes 1 Nitrogen each round (idles at +0 with no N). Turns aggression payoff into master currency.",Deaminating amino acids for a steady drip of ATP.,"ENERGY engine: 2/round, counts to <11 ceiling; self-limits via N cost.",nitrogen,,,,
Cordyceps Lance,event,nitrogen,9,0,0,0,3,mid,route,none,long aimed growth,"DIRECTIONAL, one-shot. Gated by Nitrogen. A violent aimed growth strike of 6 segments straight in a chosen direction — the aggressive traversal spike.","The fruiting stalk that erupts from a host, driving skyward.",,nitrogen,directional,,6 (aimed),
Ophiocordyceps Sentinel,engine,ant-defense,11,0,0,0,0,mid,defense,ant,ant pressure + reveal,"INSTALL. Each round, an infected ant scout wanders home and weakens its nest (small standing pressure on ant HP). ALSO widens the range at which food piles are revealed — useful even with no ants present.","The zombie-ant fungus, turning the raiders into its own scouts.",Unconditional: the reveal helps route to food even ant-free.,ant-defense,,,,
Formic Ward,action,ant-defense,8,0,0,0,0,flex,defense,ant,ant repel,"RADIUS around a tap (radius 120), cooldown 2. Sever the ant trail and repel foragers within the radius, so a nest must re-path and you get a head start to the pile.",A reek of antibiotic hyphae the column refuses to cross.,,ant-defense,radius,120,,
Leafcutter's Due,event,ant-defense,8,0,0,0,0,flex,energy,ant,contested harvest,"RADIUS around a tap (radius 110), one-shot. Rush-digest every food pile in the radius for +3 Energy per patch (flat) NOW — beat the ants to the harvest. Unplayable if no food in radius.",Take the leaf-hoard first; let the colony arrive to bare soil.,,ant-defense,radius,110,,
Myrmecophyte Pact,engine,ant-defense,10,0,0,0,0,mid,energy,ant,+1 to +3 energy/round,"INSTALL. +1 Energy per round; if any ant nest is active on the map, +3 instead. A pact that pays whether or not the ants show — never a dead draft.",Feeding the colony a sugar tithe so they raid a neighbour instead.,"ENERGY engine: capped 3/round, counts to <11 ceiling. Unconditional floor of +1.",ant-defense,,,,
Trail Choke,action,ant-defense,7,0,0,0,0,flex,route,ant,growth + block,"DIRECTIONAL, cooldown 2. Grow a dense mycelial wall 2 segments in a chosen direction that ant trails cannot cross, walling a pile off from a nest.",A living palisade the foragers meet and turn back from.,,ant-defense,directional,,2 (wall),
Melanin Sheath,engine,mould-defense,11,0,0,0,0,mid,defense,mould,infection resist + heal,"INSTALL. Standing chance to RESIST each Trichoderma contact infection, and +vitality recovery each round. Useful as plain regeneration even with no mould about.","Melanised cell walls: sunscreen, armour, and a rot-shield in one.",Defense engine (exempt). Unconditional recovery value.,mould-defense,,,,
Woronin Seal,action,mould-defense,8,0,0,0,0,flex,defense,mould,freeze rot spread,"GLOBAL, cooldown 1. Plug the septal pores network-wide: FREEZE all rot spread for 1 round (the race along your filaments halts). Buys a turn to cut or cleanse.",Woronin bodies slamming the hyphal doors shut against the breach.,,mould-defense,global,,,
Penicillin Purge,action,mould-defense,9,0,0,0,0,flex,defense,mould,cleanse + kill cloud,"RADIUS around a tap (radius 110), cooldown 1. Cleanse ALL infection within the radius and kill any Trichoderma cloud caught inside it. The workhorse cleanse.",Penicillium doing what it has always done to a rival mould.,,mould-defense,radius,110,,
Antibiosis Field,engine,mould-defense,13,0,0,0,0,mid,defense,mould,standing cleanse + slow,"INSTALL. Each round, cleanse a little infection network-wide AND emit an antifungal aura that slows Trichoderma clouds approaching your frontier. Standing mould suppression.",A permanent chemical no-man's-land at the colony's edge.,Even mould-free it keeps strands clean of transient dips.,mould-defense,,,,
Scorched Excision,event,mould-defense,6,0,0,0,0,flex,defense,mould,large amputate + cleanse,"RADIUS around a tap (radius 130), one-shot. Amputate every strand in a LARGE radius and cleanse the ground — the emergency firebreak for a runaway infection. Regrow after.",Cut to living tissue and burn the rest; the colony can afford to lose an arm.,,mould-defense,radius,130,,
Arthrobotrys Ring-Net,engine,worm-defense,11,0,0,0,0,mid,nitrogen,worm,+1 N/round + worm kill,"INSTALL. Constricting hyphal rings passively snare and digest nematodes near your frontier each round, yielding +1 Nitrogen per round even with no worms (soil fauna). Scales up when worms swarm.","The noose fungus, its rings snapping shut on anything that crawls through.",Unconditional N floor; converts a worm map into a payoff. Resource engine (exempt).,worm-defense,,,,
Sticky Secretion,basic,worm-defense,0,0,0,0,0,flex,defense,worm,worm stick,RADIUS around a tap (radius 70). Secrete mucus: stick every nematode in a small radius for 1 round (no move/feed/breed). The free floor worm tool.,Adhesive knobs the worms blunder into and cannot leave.,,worm-defense,radius,70,,
Pleurotus Predation,event,worm-defense,7,0,0,0,0,flex,nitrogen,worm,worm kill -> N,"RADIUS around a tap (radius 100), one-shot. Toxic droplets paralyse and DIGEST every nematode in the radius, converting them to Nitrogen (~+2 N each). The worm->N payoff burst.","The oyster mushroom, quietly carnivorous, dissolving its prey for nitrogen.",,worm-defense,radius,100,,
Nematophagous Bed,engine,worm-defense,12,0,0,0,0,mid,nitrogen,worm,worm kill -> +N/round,INSTALL. A standing carnivorous mat: each round it kills nematodes in contact and banks the Nitrogen (+2 N per worm digested). On a worm-heavy map this is a runaway N engine.,"A whole hunting ground of hyphal traps, always set.",Resource engine (exempt). Value scales with worm pressure; pairs with N lane.,worm-defense,,,,
Mucus Flood,action,worm-defense,9,0,0,0,0,flex,defense,worm,wide worm stick,"RADIUS around a tap (radius 140), cooldown 2. A wide sticky flood: stick every nematode in a LARGE radius for 2 rounds and halt a breeding swarm. The panic button.",Guttation turned to glue across the whole embattled front.,,worm-defense,radius,140,,
Sclerotium Bunker,engine,general-defense,12,0,0,0,0,mid,defense,all,all-threat resist + heal,"INSTALL. Standing +vitality recovery and a resistance to the FIRST hit from ants, mould, or worms each round. A hardened core that never sits idle whatever the map throws up.",A dense survival mass the colony can always retreat into.,Unconditional (recovery). Defense engine (exempt).,general-defense,,,,
Turkey-Tail Guard,action,general-defense,13,0,0,0,0,mid,defense,all,all-threat cleanse/repel,"RADIUS around a tap (radius 120), cooldown 2. Immune surge: cleanse mould infection, repel ants, and stick worms in the radius, all at once. One button for a mixed assault.","Trametes' banded shelves, the classic immune tonic of the forest.",,general-defense,radius,120,,
Amanita Toxin Ring,event,general-defense,10,0,0,0,1,flex,defense,all,all-threat kill/repel,"RADIUS around a tap (radius 130), one-shot. Lay a toxic ring: kills nematodes and Trichoderma clouds and drives ant foragers out of the radius. The scorched-earth reset.",Muscarine and amatoxin — nothing that eats the colony survives the dose.,,general-defense,radius,130,,
Pilobolus Cannon,event,finisher,16,0,2,0,0,late,finisher,none,goal surge,"GLOBAL, one-shot. Late-game only. Fire an aimed growth ballista of 8 segments straight toward the REVEALED goal zone, punching across open ground. Unplayable until the goal is sensed.","The hat-thrower, launching its cargo at ten thousand g toward the light.",,finisher,global,,8 (to goal),
Heliotropic Rush,event,finisher,18,0,0,2,0,late,finisher,none,goal fill,"GLOBAL, one-shot. Late-game only. Every tip within reach of the goal soil surges 4 segments toward it and branches to fill the fruiting columns. Unplayable until the goal is sensed.",The whole colony leaning at once toward the summer light.,,finisher,global,,4 (all -> goal),
Fruiting Primordia,event,finisher,24,0,2,2,0,late,finisher,none,win-secure fruit,"GLOBAL, one-shot. Late-game only. Force fruiting-body primordia across ALL reachable goal soil at once, even sickly or shallow tissue — guarantees the fruit that wins the level if any goal soil is held. Unplayable if no goal soil is reached.","Pins forming in the dark, committing the colony's whole life to this one flush.",,finisher,global,,,
Rhizomorph Sprint,event,finisher,14,0,1,0,0,late,finisher,none,traversal finisher,"DIRECTIONAL, one-shot. Late-game only. Lay an express cord 7 segments in a chosen direction and pull the whole frontier along it — a hard traversal finisher for the last barren gap.","Bootlaces racing through the dark, meters a day, straight for the exit.",,finisher,directional,,7 (aimed),
Prospering Flush,engine,finisher,13,0,0,0,0,late,finisher,none,+1 energy/round + goal creep,"INSTALL. Late-game engine. Each round, grow 1 segment toward the revealed goal AND +1 Energy. Buy it once the goal is in sight to close the run on autopilot. Unplayable until the goal is sensed.","The colony, scenting summer, needs no more steering.",ENERGY engine: 1/round (counts to <11). Growth exempt. Goal-locked.,finisher,,,,
Physarum Router,engine,grow,10,0,0,0,0,mid,route,none,auto-route/round,"INSTALL. Each round, auto-extend 1 segment toward the NEAREST sensed attractor (slime-mould pathfinding). Hands you steady routing without spending draws.",The slime mould that solves the maze and keeps only the efficient tubes.,Growth engine (exempt from energy ceiling).,grow-engine,,,,
Split-Gill Spread,action,growth-trick,6,0,0,0,0,early,grow,none,omni growth,"GLOBAL, cooldown 1. Grow 1 omni-segment from every tip AND branch denser network-wide — resilient, desiccation-proof coverage on demand.","Schizophyllum commune: more mating types than any organism, everywhere at once.",,grow-engine,global,,1 (omni),
Honey-Fungus March,event,growth-trick,9,0,1,0,0,mid,route,none,mass aimed growth,"DIRECTIONAL, one-shot. Advance the entire frontier 4 segments in a chosen direction as a coordinated sheet — the biggest single aimed push before finishers.","Armillaria, the largest organism alive, walking the forest floor.",,grow-engine,directional,,4 (frontier),
Truffle Instinct,action,utility,7,0,0,0,0,flex,route,none,reveal + growth,"GLOBAL, cooldown 2. Reveal the nearest unsensed food pile AND grow 2 segments toward it. Anti-stall tool when the frontier can't find the next meal.","Tuber, buried and blind, yet unerring toward what feeds it.",,grow-engine,global,,2 (seek),
Guttation Reservoir,engine,water,8,0,0,0,0,flex,water,none,+1 water/round,INSTALL. Store up to +2 extra Water soft-cap and refund 1 Water each round from condensation. A small standing top-up that smooths Water sequencing.,"Dew beading on the hyphae each night, saved against the dry.",Resource engine (exempt). Raises effective W cap slightly.,water,,,,
Bleeding-Tooth Font,action,water,9,0,0,0,0,mid,water,none,water harvest (no lake),"GLOBAL, cooldown 2. Guttate +4 Water from the network's own stored moisture — a Water harvest that needs no lake in range. The desert option.",Hydnellum peckii weeping its scarlet drops far from any pool.,,water,global,,,
Calcite Vault,engine,phosphorus,8,0,0,0,0,flex,phosphorus,none,+1 phosphorus/round,INSTALL. Store up to +2 extra Phosphorus soft-cap and refund 1 P each round from mineral scavenging. Smooths P sequencing for the heavy-gated cards.,Oxalate crystals banked in the hyphae like coin.,Resource engine (exempt). Raises effective P cap slightly.,phosphorus,,,,
Bore-Tide,event,phosphorus,13,0,0,3,0,mid,route,none,multi-rock clear,"RADIUS around a tap (radius 100), one-shot. Gated by Phosphorus. Clear every boulder AND every rock formation within the radius at once. Unplayable if none in radius.",Acid enough to dissolve a whole reef of stone in a night.,,phosphorus,radius,100,,boulder|formation
Diazotroph Symbiosis,engine,nitrogen,11,0,0,0,0,mid,nitrogen,none,+2 nitrogen/round,"INSTALL. Host nitrogen-fixing bacteria: +2 Nitrogen per round from the air itself, unconditional. A second standing N line for aggression decks.","Bacteria lodged in the hyphae, spinning nitrogen out of nothing.",Resource engine (exempt). Unconditional.,nitrogen,,,,
Lion's-Mane Regrowth,action,general-defense,9,0,0,0,0,flex,defense,all,regrow + heal,"RADIUS around a tap (radius 110), cooldown 2. Regenerate strands and rapidly re-grow tissue lost to any threat in the radius — restorative, not preventive. Pairs with any excision.",Hericium's cascading spines: the fungus that mends nerves mending itself.,,general-defense,radius,110,,
Chitin Digest,basic,energy-burst,0,0,0,0,0,flex,energy,none,energy burst,"GLOBAL. Burst-digest ONLY the substrate under your densest, oldest mat for +2 Energy per such patch (flat). A focused floor burst; weaker than premium bursts, free to draw.",Recycling the colony's own thickened core for a quick meal.,,digest,global,,,
Sensing Bloom,basic,utility,0,0,0,0,0,flex,route,none,sensing flare,GLOBAL. Flare the sensing radius for this action only: the next Grow this round sees attractors much further out. Free anti-stall floor tool.,A pulse of receptors flung out into the dark.,,grow-basic,global,,,
Melanize,basic,mould-defense,0,0,0,0,0,flex,defense,mould,infection resist (1 round),GLOBAL. Toughen cell walls for 1 round: standing chance to resist the next Trichoderma contact network-wide. The free floor mould tool.,Pigment flooding the walls the moment spores drift near.,,mould-defense,global,,,
Scout Repel,basic,ant-defense,0,0,0,0,0,flex,defense,ant,ant repel (1 round),RADIUS around a tap (radius 80). Emit a brief antibiotic reek that turns ant foragers back from the radius for 1 round. The free floor ant tool.,A whiff of something the column's chemists flag as poison.,,ant-defense,radius,80,,
Fissure Grow,basic,growth-trick,0,0,0,0,0,flex,route,none,growth + boulder clear,"DIRECTIONAL. Grow 2 aimed segments in a chosen direction and, if they meet a boulder, clear it as they pass. Combines a small push with a small dig. Free floor tool.",Hyphae wedging into a crack until the pebble simply gives.,,grow-basic,directional,,2 (aimed),boulder
Turgor Tap,basic,water,0,0,1,0,0,flex,growth,none,growth,GLOBAL. Gated by Water. Spend turgor for a single free growth pulse toward sensed food at no Energy — a cheap Water-fuelled tempo basic.,"A short swell of pressure, spent on one honest push.",,water,global,,1 pulse,
Necromass Feast,event,nitrogen,6,0,0,0,2,late,energy,none,N -> energy,"GLOBAL, one-shot. Gated by Nitrogen. Convert banked Nitrogen into a one-time +5 Energy per 2 N spent (you choose how much, up to your stock). Flexible late fuel.","The colony eating its own dead in a controlled, nitrogen-rich burn.",,nitrogen,global,,,
Mycangial Cache,extender,draw,7,0,0,0,0,flex,draw,none,+2 basics,"INSTALL. Shuffle 2 resource-tap basics (1 Guttation Sip, 1 Mineral Etch) into your draw deck. Runway that also shores up your W/P floor.",Beetles carry fungal spores in special pockets; the colony keeps its own.,,extender,,,,
Hyphal Fusion,action,draw,12,0,0,0,0,mid,draw,none,rare recycle,"INSTALL, cooldown 4. Retrieve one spent basic from the graveyard back into your hand-side pile — the ONLY recycle in the game, deliberately rare and slow.","Two colonies touching, becoming one, sharing what each had lost.","Slow, single-target, long cooldown: does not break the no-reshuffle clock.",draw-engine,,,,
Deep-Reach Taproot,event,route,10,0,2,0,0,mid,route,none,deep aimed growth,"DIRECTIONAL, one-shot. Gated by Water. Dive a single strand deep and far: grow 6 aimed segments straight DOWN-and-across in a chosen direction, tunnelling beneath a barrier belt.",The one cord that goes deep enough to pass under everything.,,grow-engine,directional,,6 (deep aimed),
